"Code","Course name","Course attributes","Course description","Course number","Course subject code","PeopleSoft course ID","PeopleSoft Equivalent Course Group","Topic","Twin Cities: Approved Liberal Education Requirement(s)","Twin Cities: This course is approved as Writing Intensive"
"AAS1101","Imagining Asian America","CLE - DSJ (Race, Power, and Justice US), CLE - SOCS (Social Sciences)","What are the histories, cultures, and experiences of Asian Americans, the fastest-growing group in the United States? How do they fit into the U.S.'s history of immigration, race, and citizenship? Is the ""model minority"" myth really true? This course is an introduction to Asian American Studies, an interdisciplinary field that uses ethnography, literature, histories, films, memoirs, and other texts to study how the history of Asian immigration to the United States has visibly shaped existing Asian American communities and identities, and how ""Asian America"" is central to a more general understanding of American popular culture and public life.

The course is roughly organized chronologically. We will first begin with an introduction to the field of Asian American Studies by asking the questions: What is Asian America? What is Asian American Studies? We will then examine important concepts, categories, and processes before exploring the rich history of Asian migration to the United States and contemporary issues facing Asian Americans today. 

One of the core principles of this course is to encourage active and interdisciplinary learning. This means that we will be learning in a variety of ways to explore and understand the material (reading, writing, watching, listening, seeing, discussing, presenting). We will be drawing from a wide range of disciplines (history, law, sociology, education, cultural studies, psychology, etc.). And we will be using a variety of materials (memoir, scholarly articles, historical documents, government records, newspapers, films, photographs, popular culture, etc.) Your active participation in these activities is essential.","1101","AAS","797460","03152","-","Social Sciences, Race, Power, and Justice in the United States","No"
"AAS1201","Racial Formation and Transformation in the United States","CLE - DSJ (Race, Power, and Justice US), CLE - SOCS (Social Sciences)","What does it take to discuss race seriously? An exploration of this question demands a counter-narrative, for our contemporary moment is such that a growing public opinion (1) casts America as a “raceless nation,” (2) interprets antiracism as “reverse racism,” and (3) embraces “diversity” to maintain the racial status quo. As a class, we will explore what it means to treat race as a social construct and also a central organizing principle shaping patterns of power and inequality. Talking about race is not easy to be sure; it engenders a host of unsettling emotions ranging from guilt and shame to anger. Yet not talking about race as a social fact in American life and culture merely reinforces the existing racial hierarchy. It forecloses opportunities to reach across boundaries of social difference to strive toward a shared sense of community and belonging. Together, we will participate in racial struggles, albeit at times painful and challenging, to address and grapple with ethical-political imperatives to pursue social justice and make the notion of diversity anew. Together we will reckon with the role of institutions in conditioning the material realities of racialized groups, while also recognizing the capacity of racialized groups to resist regimes of racial power.","1201","AAS","803713","01688","-","Social Sciences, Race, Power, and Justice in the United States","No"
"AAS3001","Contemporary Perspectives on Asian America","CLE - DSJ (Diversity and Soc Justice US)","Interdisciplinary overview of Asian American identities. Post-1965 migration/community. History, cultural productions, and concerns of Americans of Chinese, Japanese, Korean, South Asian, Filipino, and Southeast Asian ancestry.","3001","AAS","797787","01126","-","Race, Power, and Justice in the United States","No"
"AAS3211W","Race & Racism in the U.S.","CLE - DSJ (Diversity and Soc Justice US), CLE - WI (Writing Intensive)","We live in a society steeped in racial understandings that are often invisible—some that are hard to see, and others that we work hard not to see.  This course will focus on race relations in today's society with a historical overview of the experiences of various racial and ethnic groups in order to help explain their present-day social status. This course is designed to help students begin to develop their own informed perspectives on American racial “problems” by introducing them to the ways that sociologists deal with race, ethnicity, race relations and racism.  We will expand our understanding of racial and ethnic dynamics by exploring the experiences of specific groups in the U.S. and how race/ethnicity intersects with sources of stratification such as class, nationality, and gender.  The course will conclude by re-considering ideas about assimilation, pluralism, and multiculturalism.  Throughout, our goal will be to consider race both as a source of identity and social differentiation as well as a system of privilege, power and inequality affecting everyone in the society albeit in different ways. ","3211W","AAS","816256","02437","-","Race, Power, and Justice in the United States","Yes"
"AAS3251W","Sociological Perspectives on Race, Class, and Gender","CLE - DSJ (Diversity and Soc Justice US), CLE - WI (Writing Intensive), CLE - SOCS (Social Sciences)","In the midst of social unrest, it is important for us to understand social inequality. In this course we will analyze the impact of three major forms of inequality in the United States: race, class, and gender. Through taking an intersectional approach at these topics, we will examine the ways these social forces work institutionally, conceptually, and in terms of our everyday realities. We will focus on these inequalities as intertwined and deeply embedded in the history of the country. Along with race, class, and gender we will focus on other axes of inequality including sexuality, citizenship, and dis/ability. We will analyze the meanings and values attached to these social categories, and the ways in which these social constructions help rationalize, justify, and reproduce social inequality.","3251W","AAS","803710","00581","-","Social Sciences, Race, Power, and Justice in the United States","Yes"
"AAS3271","Learning in the Asian American Community","CEL - FIELD STDY (Field Study)","This course is intended to give students a general introduction to participatory learning through engagement with Asian American community organizations and/or leaders. The course is based within Asian American studies, an interdisciplinary field of inquiry that examines how histories of immigration, exclusion, racialization, and citizenship have shaped Asian American communities and identities. In turn, Asian American studies asks how Asian Americans, configured as immigrants, refugees, ""forever foreigners,"" and ""model minorities,"" impact how American nation, empire, rights, and belonging are constructed. Working with community partners, students will have the opportunity to learn several different community-based research skills: newspaper article search, archival research and/or archival organization, interviewing skills, and audio/video production. Students also have the option to complete service learning with an organization throughout the semester; with this option, students will write a short reflection statement on their service learning as their final project.

prereq: AAS and CRES minors must register A-F.","3271","AAS","797522","-","-","-","No"
"AAS3301","Asian America Through Arts and Culture","CLE - AH (Arts/Humanities), CLE - DSJ (Race, Power, and Justice US)","Americans of Asian descent comprise one of the fastest-growing racial groups in the U.S. today. While large numbers of Asian Americans have been in the U.S. since the middle of the nineteenth century, it is only in the past few decades that they have been widely recognized in art, culture, and media. This course focuses on how writing, art, performance, film, and/or other works of culture registers the experiences of Asian Americans past and present. How do individual artists or writers depict themselves and others as part of families, communities, or nations? How do questions of race, racism, family, identity, immigration, labor, citizenship, inequality, gender, sexuality, media stereotypes, and activism affect the perspectives and the creative choices in these works?","3301","AAS","797462","01863","-","Arts/Humanities, Race, Power, and Justice in the United States","No"
"AAS3303W","Writing Differences: Literature by U.S. Women of Color","CLE - DSJ (Diversity and Soc Justice US), CLE - WI (Writing Intensive), CLE - LITR (Literature)","Interpret/analyze poetry, fiction, drama of U.S. women minority writers. Relationship of writer's history, ethnicity, race, class, gender to her writings.","3303W","AAS","810102","02060","-","Literature, Race, Power, and Justice in the United States","Yes"
"AAS3311","Asian American Theater","-","Through submerging students in both theater history and practice, this class brings students closer to the history, experiences, and politics of Asian Americans. Why are Asian American stories needed and how do we tell them? What are the artistic and social agendas driving the making of Asian American theater? How have the styles of performance shifted? While we will be actively working on readings and original theater projects, you don't need to be a theater expert to enjoy this class. Topics will include reading plays by Frank Chin, David Henry Hwang, Wakako Yamauchi, Naomi Iizuka, and others; looking at the history of Asian American theater companies; discussing creative approaches to casting, acting, directing, and design; and building collaborations among companies, audiences, and communities.","3311","AAS","817300","02559","-","-","No"
"AAS3341","Asian American Images","CLE - DSJ (Diversity and Soc Justice US), CLE - AH (Arts/Humanities)","From 19th-century anti-Chinese political cartoons to Harold and Kumar, visual representations of Asians in the United States have long influenced how Asian Americans are seen and treated. What are some of the ways that photography, graphic arts, and digital culture have pictured Asian Americans as aliens, citizens, immigrants, workers, family and community members, entertainers, and artists? Course topics will relate visual images to particular historical moments, including the early exclusion period and the ""yellow peril"" stereotype; WWII Japanese American incarceration and the drawings of Miné Okubo, and photo-journalism documenting U.S. military involvement in Southeast Asia and its aftermath. How do photographic and other images work to counter historical amnesia, heal traumatic loss, and document social injustice? Other weeks of the class will explore the ways that individuals, families, and communities use photographs, video, and other visual media to preserve a sense of connection and belonging. We will also look at how contemporary Asian American photographers such as Tseng Kwong Chi, Nikki Lee, and Wing Young Huie experiment with visual images to raise questions of racial and national identity, social inequality, gender, sexuality, and political agency. The course also includes a digital storytelling project that encourages students to create video images and sound reflecting Asian American immigration stories from local communities.","3341","AAS","817324","02576","-","Arts/Humanities, Race, Power, and Justice in the United States","No"
"AAS3351","Asian Americans and Popular Culture","CLE - DSJ (Diversity and Soc Justice US), CLE - AH (Arts/Humanities)","Over the past few decades, Asian Americans have become increasingly visible both as the subjects and producers of popular culture in the United States. This course will explore how this new recognition of Asian Americans in popular literature, cinema, television, and entertainment is related both to longer histories of Asian immigration and racial exclusion and to post-1960s efforts to forward racial awareness, community activism, and social justice. Our first unit will look at how particular stereotypes such as the yellow peril or the wartime enemy encouraged anti-Asian feeling and violence and legal restrictions on immigration and naturalization. We will then examine how throughout history, Asian immigrants and their descendants used song, dance, theater, writing, and other forms of popular culture to express personal desires and foster collective ties. Our final unit concentrates on contemporary popular culture and its relationship to the changing identities of Asian Americans. How do Asian Americans influence the current essays, films, and videos that are consumed by millions today? How are increasingly pan-ethnic, interracial, multiracial, transnational, and global experiences reflected in popular culture?","3351","AAS","817325","02623","-","Arts/Humanities, Race, Power, and Justice in the United States","No"
